,CC,GD,JM,JS,NL,RK,SC,YY
CC,,0.6666666666666666,0.7083333333333334,0.7083333333333334,0.8055555555555555,0.7083333333333334,0.6979166666666666,0.6666666666666666
GD,0.71875,,0.6875,0.736111111111111,0.798611111111111,0.7291666666666666,0.7239583333333334,0.6666666666666666
JM,0.7239583333333334,0.6805555555555555,,0.6944444444444443,0.798611111111111,0.7083333333333334,0.71875,0.6614583333333334
JS,0.7239583333333334,0.6736111111111112,0.7083333333333334,,0.7986111111111112,0.6875,0.703125,0.6510416666666666
NL,0.71875,0.6805555555555557,0.6944444444444445,0.6944444444444443,,0.6875,0.7239583333333334,0.6666666666666666
RK,0.7239583333333334,0.6944444444444445,0.7083333333333334,0.7291666666666666,0.7916666666666666,,0.71875,0.6822916666666666
SC,0.703125,0.673611111111111,0.7222222222222223,0.7152777777777777,0.7847222222222222,0.7083333333333334,,0.6927083333333334
YY,0.7395833333333334,0.6875,0.6805555555555555,0.7291666666666666,0.8125,0.7013888888888888,0.7239583333333334,
