,AT,CC,GD,JM,JR,JS,ML,NL,RK,SC,YY
AT,,0.5,0.625,0.6666666666666666,0.25,0.7083333333333334,0.4583333333333333,0.5833333333333334,0.5833333333333334,0.5416666666666666,0.625
CC,0.5625,,0.5625,0.5208333333333334,0.5416666666666666,0.5208333333333334,0.5,0.5208333333333334,0.4375,0.5833333333333334,0.4791666666666667
GD,0.5576923076923077,0.5,,0.5769230769230769,0.4807692307692308,0.5192307692307693,0.5384615384615384,0.5,0.5,0.5576923076923077,0.5192307692307693
JM,0.5,0.5,0.5,,0.4166666666666667,0.5,0.3333333333333333,0.5,0.4166666666666667,0.5,0.5
JR,0.475,0.525,0.525,0.45,,0.5,0.475,0.525,0.45,0.5,0.5
JS,0.6666666666666666,0.5833333333333334,0.5,0.5,0.5,,0.5,0.75,0.4166666666666667,0.5833333333333334,0.5
ML,0.475,0.45,0.55,0.475,0.425,0.45,,0.35,0.4,0.45,0.475
NL,0.5833333333333334,0.5833333333333334,0.4722222222222222,0.5833333333333334,0.4722222222222222,0.6666666666666666,0.5,,0.5277777777777778,0.5277777777777778,0.5277777777777778
RK,0.55,0.5666666666666667,0.5,0.45,0.4666666666666667,0.5833333333333334,0.5666666666666667,0.6333333333333333,,0.4666666666666667,0.5166666666666667
SC,0.5416666666666666,0.5,0.5625,0.5416666666666666,0.5,0.5208333333333334,0.5208333333333334,0.4791666666666667,0.4791666666666667,,0.5208333333333334
YY,0.5833333333333334,0.5625,0.5208333333333334,0.4583333333333333,0.5,0.5208333333333334,0.5833333333333334,0.4791666666666667,0.4375,0.4583333333333333,
