,AT,CC,GD,JM,JR,JS,ML,NL,RK,SC,YY
AT,,0.5833333333333334,0.6538461538461539,0.75,0.65,0.75,0.6,0.6388888888888888,0.5833333333333334,0.6041666666666666,0.625
CC,0.7916666666666666,,0.6346153846153846,0.75,0.675,0.8333333333333334,0.65,0.6666666666666666,0.6,0.5833333333333334,0.5833333333333334
GD,0.8333333333333334,0.5833333333333334,,0.75,0.65,0.8333333333333334,0.65,0.6388888888888888,0.65,0.5833333333333334,0.6666666666666666
JM,0.7916666666666666,0.6041666666666666,0.6730769230769231,,0.7,0.8333333333333334,0.65,0.6666666666666666,0.6,0.5833333333333334,0.625
JR,0.7916666666666666,0.6041666666666666,0.7307692307692307,0.75,,0.75,0.65,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.6458333333333334
JS,0.7916666666666666,0.5833333333333334,0.6730769230769231,0.75,0.65,,0.65,0.6666666666666666,0.6,0.6041666666666666,0.625
ML,0.7916666666666666,0.6041666666666666,0.6730769230769231,0.6666666666666666,0.65,0.75,,0.7222222222222222,0.6166666666666667,0.625,0.6458333333333334
NL,0.7916666666666666,0.6041666666666666,0.6730769230769231,0.8333333333333334,0.65,0.75,0.65,,0.6,0.6666666666666666,0.625
RK,0.7916666666666666,0.5833333333333334,0.6730769230769231,0.75,0.725,0.75,0.6,0.75,,0.5833333333333334,0.625
SC,0.7916666666666666,0.5833333333333334,0.6538461538461539,0.6666666666666666,0.65,0.75,0.65,0.6666666666666666,0.5666666666666667,,0.6666666666666666
YY,0.7916666666666666,0.5625,0.7115384615384616,0.6666666666666666,0.65,0.75,0.65,0.6666666666666666,0.5833333333333334,0.625,
