,AT,CC,GD,JM,JR,JS,ML,NL,RK,SC,YY
AT,,0.5833333333333334,0.5416666666666666,0.2916666666666667,0.4166666666666667,0.2916666666666667,0.4583333333333333,0.625,0.5,0.4166666666666667,0.6666666666666666
CC,0.5208333333333334,,0.5208333333333334,0.5208333333333334,0.5833333333333334,0.5208333333333334,0.5,0.4583333333333333,0.5833333333333334,0.5625,0.4375
GD,0.5961538461538461,0.5384615384615384,,0.5,0.4423076923076923,0.4230769230769231,0.4807692307692308,0.46153846153846156,0.4230769230769231,0.5,0.5961538461538461
JM,0.3333333333333333,0.5833333333333334,0.5,,0.25,0.3333333333333333,0.25,0.5,0.4166666666666667,0.3333333333333333,0.5833333333333334
JR,0.525,0.5,0.5,0.5,,0.7,0.6,0.5,0.55,0.475,0.5
JS,0.6666666666666666,0.5833333333333334,0.5,0.5,0.75,,0.4166666666666667,0.4166666666666667,0.5,0.5833333333333334,0.6666666666666666
ML,0.475,0.45,0.575,0.55,0.5,0.475,,0.45,0.575,0.5,0.5
NL,0.5277777777777778,0.5,0.5555555555555556,0.5277777777777778,0.5277777777777778,0.5555555555555556,0.5277777777777778,,0.4722222222222222,0.4722222222222222,0.5833333333333334
RK,0.5333333333333333,0.6166666666666667,0.5166666666666667,0.48333333333333334,0.5666666666666667,0.5833333333333334,0.6166666666666667,0.5333333333333333,,0.5666666666666667,0.48333333333333334
SC,0.5,0.5,0.4791666666666667,0.4791666666666667,0.5,0.4583333333333333,0.4791666666666667,0.4791666666666667,0.4791666666666667,,0.4791666666666667
YY,0.5416666666666666,0.5208333333333334,0.4791666666666667,0.5416666666666666,0.5625,0.5208333333333334,0.4583333333333333,0.6041666666666666,0.5416666666666666,0.5416666666666666,
