,AT,CC,GD,JM,JR,JS,ML,NL,RK,SC,YY
AT,,0.625,0.6153846153846154,0.5833333333333334,0.7,0.75,0.6,0.6944444444444444,0.7,0.5833333333333334,0.6041666666666666
CC,0.7916666666666666,,0.6346153846153846,0.6666666666666666,0.6,0.6666666666666666,0.575,0.6388888888888888,0.6666666666666666,0.5833333333333334,0.6041666666666666
GD,0.75,0.6875,,0.5833333333333334,0.625,0.8333333333333334,0.6,0.6666666666666666,0.7166666666666667,0.6041666666666666,0.6041666666666666
JM,0.75,0.6666666666666666,0.6153846153846154,,0.625,0.75,0.6,0.6388888888888888,0.7166666666666667,0.5833333333333334,0.6041666666666666
JR,0.75,0.625,0.6538461538461539,0.5833333333333334,,0.6666666666666666,0.6,0.6111111111111112,0.6666666666666666,0.5833333333333334,0.625
JS,0.7916666666666666,0.6458333333333334,0.5961538461538461,0.5833333333333334,0.65,,0.6,0.6666666666666666,0.7166666666666667,0.5625,0.6041666666666666
ML,0.8333333333333334,0.625,0.6346153846153846,0.5833333333333334,0.625,0.75,,0.6111111111111112,0.7,0.6041666666666666,0.6041666666666666
NL,0.75,0.6041666666666666,0.6153846153846154,0.6666666666666666,0.675,0.75,0.6,,0.6833333333333333,0.6041666666666666,0.6458333333333334
RK,0.75,0.6041666666666666,0.6346153846153846,0.6666666666666666,0.625,0.75,0.625,0.6388888888888888,,0.5625,0.6041666666666666
SC,0.75,0.6041666666666666,0.6153846153846154,0.5833333333333334,0.625,0.5833333333333334,0.625,0.6388888888888888,0.7166666666666667,,0.6458333333333334
YY,0.7916666666666666,0.6041666666666666,0.5769230769230769,0.6666666666666666,0.65,0.75,0.6,0.6944444444444444,0.7,0.5625,
