,AT,CC,GD,JM,JR,JS,ML,NL,RK,SC,YY
AT,,0.5833333333333334,0.625,0.5,0.4583333333333333,0.5833333333333334,0.2916666666666667,0.5833333333333334,0.5416666666666666,0.4583333333333333,0.375
CC,0.5,,0.5416666666666666,0.4583333333333333,0.4375,0.5,0.4166666666666667,0.5416666666666666,0.4791666666666667,0.5625,0.6041666666666666
GD,0.5961538461538461,0.5,,0.4423076923076923,0.5192307692307693,0.5384615384615384,0.4423076923076923,0.5384615384615384,0.4807692307692308,0.5,0.4230769230769231
JM,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.4166666666666667,0.5833333333333334,0.5,0.5,0.4166666666666667,0.5
JR,0.525,0.55,0.55,0.525,,0.6,0.65,0.6,0.525,0.525,0.5
JS,0.5833333333333334,0.5,0.5,0.3333333333333333,0.4166666666666667,,0.3333333333333333,0.75,0.5833333333333334,0.5,0.3333333333333333
ML,0.475,0.475,0.425,0.475,0.55,0.5,,0.45,0.475,0.475,0.475
NL,0.5555555555555556,0.5277777777777778,0.6111111111111112,0.5,0.5277777777777778,0.7222222222222222,0.4444444444444444,,0.6388888888888888,0.5833333333333334,0.5277777777777778
RK,0.5,0.5,0.5,0.4666666666666667,0.4,0.55,0.45,0.43333333333333335,,0.55,0.4166666666666667
SC,0.4791666666666667,0.5,0.625,0.5,0.6041666666666666,0.6041666666666666,0.4583333333333333,0.5208333333333334,0.5,,0.5208333333333334
YY,0.5208333333333334,0.5625,0.5625,0.5,0.5208333333333334,0.5625,0.5833333333333334,0.5416666666666666,0.4166666666666667,0.5208333333333334,
