,AT,CC,GD,JM,JR,JS,ML,NL,RK,SC,YY
AT,,0.3333333333333333,0.375,0.625,0.8333333333333334,0.5,0.4583333333333333,0.625,0.375,0.7083333333333334,0.6666666666666666
CC,0.5208333333333334,,0.5,0.4375,0.5416666666666666,0.5833333333333334,0.4166666666666667,0.625,0.4791666666666667,0.5625,0.5625
GD,0.5192307692307693,0.5384615384615384,,0.46153846153846156,0.5384615384615384,0.5384615384615384,0.5192307692307693,0.5384615384615384,0.5384615384615384,0.38461538461538464,0.5
JM,0.5,0.4166666666666667,0.4166666666666667,,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.5,0.3333333333333333,0.5833333333333334
JR,0.6,0.55,0.475,0.525,,0.65,0.6,0.45,0.5,0.5,0.525
JS,0.5,0.5,0.6666666666666666,0.5833333333333334,0.75,,0.6666666666666666,0.5,0.6666666666666666,0.5,0.5833333333333334
ML,0.475,0.575,0.425,0.5,0.6,0.575,,0.375,0.525,0.55,0.475
NL,0.5833333333333334,0.6944444444444444,0.6388888888888888,0.5,0.6388888888888888,0.5833333333333334,0.5555555555555556,,0.5,0.4166666666666667,0.5555555555555556
RK,0.5166666666666667,0.55,0.5,0.5166666666666667,0.5833333333333334,0.5333333333333333,0.5166666666666667,0.4666666666666667,,0.5166666666666667,0.55
SC,0.5,0.4375,0.5,0.4791666666666667,0.5208333333333334,0.4583333333333333,0.4791666666666667,0.5625,0.4166666666666667,,0.5208333333333334
YY,0.5833333333333334,0.4791666666666667,0.5208333333333334,0.4791666666666667,0.5,0.5,0.4583333333333333,0.5,0.3958333333333333,0.4583333333333333,
