,AT,CC,GD,JM,JR,JS,ML,NL,RK,SC,YY
AT,,0.5416666666666666,0.8333333333333334,0.6666666666666666,0.7083333333333334,0.75,0.7083333333333334,0.7083333333333334,0.8333333333333334,0.7083333333333334,0.625
CC,0.5,,0.4375,0.5416666666666666,0.5625,0.5,0.5,0.5,0.5208333333333334,0.4375,0.4583333333333333
GD,0.5961538461538461,0.5,,0.46153846153846156,0.5,0.5384615384615384,0.5192307692307693,0.4423076923076923,0.6153846153846154,0.4423076923076923,0.46153846153846156
JM,0.4166666666666667,0.5833333333333334,0.5,,0.5833333333333334,0.5,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334
JR,0.575,0.525,0.5,0.475,,0.55,0.525,0.575,0.45,0.525,0.6
JS,0.75,0.5833333333333334,0.5,0.5833333333333334,0.5,,0.3333333333333333,0.5,0.5833333333333334,0.6666666666666666,0.8333333333333334
ML,0.325,0.5,0.525,0.525,0.55,0.5,,0.575,0.475,0.675,0.5
NL,0.6388888888888888,0.6111111111111112,0.6666666666666666,0.5277777777777778,0.6388888888888888,0.6388888888888888,0.5833333333333334,,0.5833333333333334,0.5277777777777778,0.5833333333333334
RK,0.5,0.5,0.5833333333333334,0.45,0.36666666666666664,0.4666666666666667,0.4166666666666667,0.36666666666666664,,0.45,0.45
SC,0.5416666666666666,0.5625,0.5208333333333334,0.5208333333333334,0.4791666666666667,0.5416666666666666,0.5833333333333334,0.4791666666666667,0.5416666666666666,,0.5625
YY,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.5208333333333334,0.6041666666666666,0.6875,0.6458333333333334,0.4166666666666667,0.6458333333333334,0.6875,
