,AT,CC,GD,JM,JR,JS,ML,NL,RK,SC,YY
AT,,0.5833333333333334,0.5961538461538461,0.6666666666666666,0.725,0.9166666666666666,0.6,0.7222222222222222,0.6166666666666667,0.6041666666666666,0.6875
CC,0.8333333333333334,,0.6346153846153846,0.75,0.625,0.8333333333333334,0.65,0.8055555555555556,0.6166666666666667,0.6041666666666666,0.6875
GD,0.8333333333333334,0.5833333333333334,,0.6666666666666666,0.625,0.8333333333333334,0.625,0.75,0.6,0.5833333333333334,0.6875
JM,0.875,0.6041666666666666,0.6346153846153846,,0.65,0.9166666666666666,0.65,0.7777777777777778,0.6333333333333333,0.5833333333333334,0.7083333333333334
JR,0.875,0.6041666666666666,0.6153846153846154,0.6666666666666666,,0.8333333333333334,0.6,0.7777777777777778,0.6166666666666667,0.5833333333333334,0.7291666666666666
JS,0.8333333333333334,0.6458333333333334,0.5961538461538461,0.6666666666666666,0.675,,0.625,0.75,0.6333333333333333,0.625,0.6875
ML,0.875,0.6666666666666666,0.6153846153846154,0.6666666666666666,0.675,0.8333333333333334,,0.8055555555555556,0.6166666666666667,0.5833333333333334,0.6875
NL,0.8333333333333334,0.5833333333333334,0.5769230769230769,0.6666666666666666,0.65,0.8333333333333334,0.6,,0.6,0.6041666666666666,0.6875
RK,0.8333333333333334,0.6041666666666666,0.6346153846153846,0.75,0.6,0.8333333333333334,0.65,0.7222222222222222,,0.6041666666666666,0.7708333333333334
SC,0.8333333333333334,0.5833333333333334,0.6538461538461539,0.6666666666666666,0.65,0.8333333333333334,0.675,0.75,0.6166666666666667,,0.7083333333333334
YY,0.8333333333333334,0.6041666666666666,0.5961538461538461,0.6666666666666666,0.675,0.8333333333333334,0.6,0.6666666666666666,0.6166666666666667,0.5833333333333334,
