,AT,CC,GD,JM,JR,JS,ML,NL,RK,SC,YY
AT,,0.625,0.5769230769230769,0.75,0.6,0.75,0.7,0.6666666666666666,0.6333333333333333,0.6041666666666666,0.6041666666666666
CC,0.75,,0.6153846153846154,0.5833333333333334,0.675,0.75,0.625,0.6944444444444444,0.5833333333333334,0.5833333333333334,0.5833333333333334
GD,0.7083333333333334,0.625,,0.5833333333333334,0.625,0.75,0.7,0.6944444444444444,0.6333333333333333,0.5833333333333334,0.6041666666666666
JM,0.8333333333333334,0.625,0.6153846153846154,,0.65,0.75,0.75,0.6666666666666666,0.6166666666666667,0.5833333333333334,0.625
JR,0.8333333333333334,0.625,0.6153846153846154,0.6666666666666666,,0.75,0.75,0.6944444444444444,0.6166666666666667,0.5833333333333334,0.5833333333333334
JS,0.7916666666666666,0.625,0.5961538461538461,0.75,0.65,,0.725,0.6944444444444444,0.6166666666666667,0.5833333333333334,0.6041666666666666
ML,0.8333333333333334,0.6041666666666666,0.5961538461538461,0.75,0.65,0.75,,0.6666666666666666,0.6333333333333333,0.625,0.6041666666666666
NL,0.7083333333333334,0.625,0.6153846153846154,0.6666666666666666,0.65,0.6666666666666666,0.775,,0.6,0.5833333333333334,0.625
RK,0.7083333333333334,0.625,0.6346153846153846,0.75,0.65,0.75,0.65,0.6666666666666666,,0.5833333333333334,0.5625
SC,0.7916666666666666,0.6041666666666666,0.5961538461538461,0.75,0.65,0.75,0.725,0.6666666666666666,0.6,,0.5625
YY,0.7083333333333334,0.5833333333333334,0.5961538461538461,0.75,0.625,0.6666666666666666,0.675,0.75,0.5833333333333334,0.5833333333333334,
