,AT,CC,GD,JR,ML,NL,RK,SC,YY
AT,,0.625,0.6,0.7,0.75,0.6666666666666666,0.625,0.6875,0.8125
CC,0.6666666666666666,,0.6,0.7,0.75,0.6666666666666666,0.625,0.6875,0.8125
GD,0.6666666666666666,0.625,,0.7,0.75,0.6666666666666666,0.625,0.625,0.8125
JR,0.75,0.625,0.55,,0.75,0.6666666666666666,0.625,0.6875,0.8125
ML,0.6666666666666666,0.625,0.6,0.7,,0.6666666666666666,0.625,0.6875,0.8125
NL,0.6666666666666666,0.625,0.6,0.7,0.75,,0.625,0.6875,0.8125
RK,0.6666666666666666,0.625,0.65,0.75,0.8,0.6666666666666666,,0.625,0.8125
SC,0.6666666666666666,0.625,0.6,0.7,0.8,0.75,0.625,,0.8125
YY,0.6666666666666666,0.625,0.6,0.75,0.85,0.6666666666666666,0.625,0.6875,
