,AT,CC,GD,JR,ML,NL,RK,SC,YY
AT,,0.4166666666666667,0.5,0.5,0.5,0.5,0.5,0.5,0.5
CC,0.5,,0.5625,0.5,0.5,0.5625,0.5625,0.4375,0.5
GD,0.55,0.55,,0.55,0.55,0.55,0.55,0.5,0.5
JR,0.6,0.5,0.6,,0.7,0.55,0.55,0.5,0.7
ML,0.6,0.65,0.6,0.7,,0.55,0.75,0.55,0.75
NL,0.5833333333333334,0.4166666666666667,0.5833333333333334,0.5,0.5,,0.5833333333333334,0.5,0.5833333333333334
RK,0.5833333333333334,0.5833333333333334,0.625,0.5833333333333334,0.5833333333333334,0.5416666666666666,,0.5833333333333334,0.5833333333333334
SC,0.5625,0.5625,0.5625,0.625,0.5,0.5625,0.5,,0.625
YY,0.625,0.625,0.6875,0.5625,0.5,0.5625,0.5625,0.5,
