,AT,CC,GD,JR,ML,NL,RK,SC,YY
AT,,0.5,0.5,0.6666666666666666,0.5,0.4166666666666667,0.6666666666666666,0.4166666666666667,0.5
CC,0.5,,0.4375,0.375,0.5,0.4375,0.5625,0.5,0.5
GD,0.55,0.5,,0.5,0.5,0.5,0.4,0.4,0.5
JR,0.55,0.5,0.5,,0.55,0.5,0.4,0.5,0.5
ML,0.45,0.55,0.5,0.6,,0.5,0.5,0.5,0.65
NL,0.5,0.4166666666666667,0.5,0.5833333333333334,0.5833333333333334,,0.6666666666666666,0.5,0.5833333333333334
RK,0.5416666666666666,0.4166666666666667,0.5833333333333334,0.5416666666666666,0.5,0.5833333333333334,,0.5,0.3333333333333333
SC,0.625,0.5,0.5,0.5625,0.5625,0.625,0.5,,0.5
YY,0.5,0.4375,0.5,0.4375,0.625,0.5625,0.5,0.375,
