,AT,CC,GD,JM,JR,JS,ML,NL,RK,SC,YY
AT,,0.625,0.7115384615384616,0.75,0.75,0.9166666666666666,0.625,0.5555555555555556,0.6833333333333333,0.5833333333333334,0.6666666666666666
CC,0.625,,0.6730769230769231,0.75,0.675,0.8333333333333334,0.625,0.5833333333333334,0.7,0.6041666666666666,0.6666666666666666
GD,0.6666666666666666,0.6041666666666666,,0.75,0.7,0.8333333333333334,0.625,0.5555555555555556,0.6833333333333333,0.6041666666666666,0.6041666666666666
JM,0.625,0.6666666666666666,0.6730769230769231,,0.75,0.8333333333333334,0.6,0.6388888888888888,0.6666666666666666,0.6041666666666666,0.6666666666666666
JR,0.625,0.625,0.6730769230769231,0.75,,0.8333333333333334,0.625,0.6388888888888888,0.6833333333333333,0.5625,0.6666666666666666
JS,0.6666666666666666,0.6458333333333334,0.6923076923076923,0.75,0.725,,0.6,0.5833333333333334,0.6666666666666666,0.6041666666666666,0.6458333333333334
ML,0.625,0.6875,0.6923076923076923,0.75,0.725,0.8333333333333334,,0.5833333333333334,0.6666666666666666,0.6458333333333334,0.7083333333333334
NL,0.625,0.6875,0.6730769230769231,0.75,0.7,0.8333333333333334,0.625,,0.65,0.5833333333333334,0.7291666666666666
RK,0.625,0.625,0.6923076923076923,0.75,0.675,0.8333333333333334,0.625,0.5833333333333334,,0.6041666666666666,0.625
SC,0.625,0.6458333333333334,0.7115384615384616,0.75,0.65,0.8333333333333334,0.6,0.5555555555555556,0.6666666666666666,,0.6666666666666666
YY,0.625,0.6458333333333334,0.6730769230769231,0.75,0.675,0.8333333333333334,0.625,0.6111111111111112,0.6833333333333333,0.6041666666666666,
