,AT,CC,GD,JM,JR,JS,ML,NL,RK,SC,YY
AT,,0.5,0.4166666666666667,0.6666666666666666,0.5416666666666666,0.5416666666666666,0.4583333333333333,0.4583333333333333,0.5416666666666666,0.4166666666666667,0.5
CC,0.5833333333333334,,0.5625,0.5625,0.5416666666666666,0.5208333333333334,0.5208333333333334,0.5,0.5833333333333334,0.4791666666666667,0.5
GD,0.5192307692307693,0.4807692307692308,,0.5384615384615384,0.5384615384615384,0.5,0.5576923076923077,0.5,0.4423076923076923,0.5384615384615384,0.4423076923076923
JM,0.6666666666666666,0.5833333333333334,0.5833333333333334,,0.5,0.5,0.5,0.4166666666666667,0.5,0.5,0.5
JR,0.525,0.525,0.625,0.625,,0.475,0.7,0.475,0.675,0.5,0.525
JS,0.75,0.5833333333333334,0.6666666666666666,0.4166666666666667,0.5833333333333334,,0.5833333333333334,0.4166666666666667,0.3333333333333333,0.5,0.5833333333333334
ML,0.475,0.425,0.4,0.4,0.55,0.5,,0.3,0.45,0.525,0.525
NL,0.4722222222222222,0.4722222222222222,0.4444444444444444,0.4722222222222222,0.5555555555555556,0.4722222222222222,0.5,,0.6111111111111112,0.4444444444444444,0.4444444444444444
RK,0.5333333333333333,0.5333333333333333,0.5666666666666667,0.4666666666666667,0.5666666666666667,0.5,0.5,0.5166666666666667,,0.48333333333333334,0.5
SC,0.5208333333333334,0.4791666666666667,0.5416666666666666,0.6041666666666666,0.5833333333333334,0.5833333333333334,0.5416666666666666,0.625,0.5,,0.4791666666666667
YY,0.5625,0.3958333333333333,0.3333333333333333,0.4375,0.5833333333333334,0.4583333333333333,0.6041666666666666,0.5,0.5208333333333334,0.4166666666666667,
