,AT,CC,GD,JM,JR,JS,ML,NL,RK,SC,YY
AT,,0.625,0.5961538461538461,0.6666666666666666,0.725,0.8333333333333334,0.575,0.6388888888888888,0.5833333333333334,0.6458333333333334,0.6666666666666666
CC,0.6666666666666666,,0.5961538461538461,0.6666666666666666,0.7,0.8333333333333334,0.575,0.6111111111111112,0.6,0.625,0.6458333333333334
GD,0.6666666666666666,0.6875,,0.75,0.725,0.75,0.575,0.6111111111111112,0.6166666666666667,0.6458333333333334,0.6458333333333334
JM,0.6666666666666666,0.6041666666666666,0.6153846153846154,,0.775,0.8333333333333334,0.575,0.6111111111111112,0.5833333333333334,0.6666666666666666,0.6666666666666666
JR,0.625,0.6041666666666666,0.5961538461538461,0.75,,0.75,0.575,0.5833333333333334,0.6166666666666667,0.6458333333333334,0.625
JS,0.6666666666666666,0.6875,0.6346153846153846,0.75,0.7,,0.575,0.6388888888888888,0.6,0.6666666666666666,0.6666666666666666
ML,0.625,0.6875,0.7307692307692307,0.6666666666666666,0.8,0.75,,0.6388888888888888,0.6,0.6458333333333334,0.6458333333333334
NL,0.7083333333333334,0.6666666666666666,0.6346153846153846,0.6666666666666666,0.75,0.8333333333333334,0.6,,0.6,0.6458333333333334,0.625
RK,0.6666666666666666,0.6666666666666666,0.5961538461538461,0.6666666666666666,0.75,0.8333333333333334,0.575,0.6388888888888888,,0.6458333333333334,0.5833333333333334
SC,0.6666666666666666,0.6458333333333334,0.6346153846153846,0.6666666666666666,0.725,0.8333333333333334,0.575,0.5833333333333334,0.5833333333333334,,0.6666666666666666
YY,0.7083333333333334,0.6666666666666666,0.5769230769230769,0.6666666666666666,0.725,0.8333333333333334,0.575,0.6111111111111112,0.6166666666666667,0.6666666666666666,
