,AT,CC,GD,JM,JR,JS,ML,NL,RK,SC,YY
AT,,0.7083333333333334,0.6153846153846154,0.8333333333333334,0.725,0.75,0.6,0.5833333333333334,0.6833333333333333,0.6041666666666666,0.6041666666666666
CC,0.7083333333333334,,0.6730769230769231,0.6666666666666666,0.725,0.8333333333333334,0.6,0.5833333333333334,0.6166666666666667,0.6041666666666666,0.6041666666666666
GD,0.75,0.7083333333333334,,0.75,0.675,0.8333333333333334,0.575,0.5833333333333334,0.7,0.6458333333333334,0.6041666666666666
JM,0.75,0.6875,0.6153846153846154,,0.75,0.75,0.6,0.5833333333333334,0.7166666666666667,0.6041666666666666,0.6041666666666666
JR,0.75,0.6458333333333334,0.6538461538461539,0.75,,0.8333333333333334,0.6,0.6388888888888888,0.6166666666666667,0.625,0.625
JS,0.7083333333333334,0.7291666666666666,0.6538461538461539,0.75,0.75,,0.6,0.5833333333333334,0.7,0.625,0.5833333333333334
ML,0.75,0.7291666666666666,0.6346153846153846,0.75,0.725,0.75,,0.6111111111111112,0.6333333333333333,0.625,0.6041666666666666
NL,0.75,0.6666666666666666,0.6346153846153846,0.6666666666666666,0.75,0.75,0.6,,0.7,0.625,0.5833333333333334
RK,0.7083333333333334,0.7083333333333334,0.6346153846153846,0.6666666666666666,0.7,0.75,0.6,0.6111111111111112,,0.625,0.6041666666666666
SC,0.75,0.6875,0.6923076923076923,0.6666666666666666,0.75,0.8333333333333334,0.6,0.5833333333333334,0.6666666666666666,,0.6041666666666666
YY,0.7083333333333334,0.7083333333333334,0.6153846153846154,0.75,0.75,0.8333333333333334,0.6,0.5833333333333334,0.7,0.6041666666666666,
