,AT,CC,GD,JM,JR,JS,ML,NL,RK,SC,YY
AT,,0.6458333333333334,0.6153846153846154,0.8333333333333334,0.55,0.6666666666666666,0.7,0.6388888888888888,0.6,0.5625,0.5625
CC,0.7083333333333334,,0.5769230769230769,0.8333333333333334,0.55,0.5833333333333334,0.6,0.6666666666666666,0.6166666666666667,0.5416666666666666,0.5416666666666666
GD,0.75,0.6875,,0.75,0.625,0.5833333333333334,0.65,0.6666666666666666,0.5666666666666667,0.5625,0.6041666666666666
JM,0.7083333333333334,0.6458333333333334,0.6153846153846154,,0.55,0.6666666666666666,0.6,0.6944444444444444,0.5833333333333334,0.5625,0.5625
JR,0.7916666666666666,0.6458333333333334,0.5769230769230769,0.9166666666666666,,0.6666666666666666,0.625,0.6666666666666666,0.6166666666666667,0.5416666666666666,0.5625
JS,0.7083333333333334,0.625,0.5961538461538461,0.8333333333333334,0.525,,0.625,0.6666666666666666,0.6166666666666667,0.5625,0.5625
ML,0.7083333333333334,0.6666666666666666,0.5961538461538461,0.75,0.6,0.5833333333333334,,0.6111111111111112,0.6166666666666667,0.6041666666666666,0.5625
NL,0.6666666666666666,0.6458333333333334,0.5769230769230769,0.75,0.6,0.6666666666666666,0.6,,0.5833333333333334,0.5625,0.5625
RK,0.7083333333333334,0.6458333333333334,0.5769230769230769,0.75,0.55,0.6666666666666666,0.625,0.6666666666666666,,0.5625,0.5416666666666666
SC,0.625,0.6458333333333334,0.5769230769230769,0.8333333333333334,0.55,0.5833333333333334,0.6,0.6944444444444444,0.6,,0.5625
YY,0.7083333333333334,0.6458333333333334,0.6153846153846154,0.75,0.6,0.5833333333333334,0.625,0.6666666666666666,0.6166666666666667,0.5833333333333334,
