,AT,CC,GD,JM,JR,JS,ML,NL,RK,SC,YY
AT,,0.6041666666666666,0.5961538461538461,0.6666666666666666,0.725,0.9166666666666666,0.75,0.6388888888888888,0.5833333333333334,0.6458333333333334,0.6666666666666666
CC,0.6666666666666666,,0.6153846153846154,0.75,0.7,0.9166666666666666,0.8,0.6111111111111112,0.6333333333333333,0.6458333333333334,0.6666666666666666
GD,0.6666666666666666,0.6041666666666666,,0.5833333333333334,0.65,0.9166666666666666,0.825,0.6111111111111112,0.6,0.6041666666666666,0.6666666666666666
JM,0.6666666666666666,0.6041666666666666,0.5961538461538461,,0.7,0.8333333333333334,0.775,0.6666666666666666,0.6166666666666667,0.6041666666666666,0.6666666666666666
JR,0.75,0.6041666666666666,0.5769230769230769,0.6666666666666666,,0.8333333333333334,0.8,0.7222222222222222,0.6166666666666667,0.625,0.6875
JS,0.6666666666666666,0.625,0.6153846153846154,0.75,0.7,,0.775,0.6111111111111112,0.6,0.625,0.6875
ML,0.625,0.625,0.5961538461538461,0.6666666666666666,0.675,0.9166666666666666,,0.6388888888888888,0.5666666666666667,0.625,0.6666666666666666
NL,0.7083333333333334,0.6041666666666666,0.5961538461538461,0.75,0.7,0.9166666666666666,0.75,,0.5833333333333334,0.625,0.6458333333333334
RK,0.7083333333333334,0.625,0.5576923076923077,0.6666666666666666,0.7,0.75,0.725,0.6388888888888888,,0.6041666666666666,0.6875
SC,0.6666666666666666,0.625,0.6153846153846154,0.75,0.725,0.8333333333333334,0.775,0.5833333333333334,0.6,,0.7083333333333334
YY,0.6666666666666666,0.625,0.5961538461538461,0.6666666666666666,0.7,0.8333333333333334,0.8,0.6944444444444444,0.6,0.625,
