,AT,CC,GD,JM,JR,JS,ML,NL,RK,SC,YY
AT,,0.625,0.4166666666666667,0.5,0.375,0.4583333333333333,0.5,0.5,0.4583333333333333,0.4583333333333333,0.5416666666666666
CC,0.5625,,0.5416666666666666,0.5,0.5208333333333334,0.5416666666666666,0.5416666666666666,0.5,0.5416666666666666,0.4583333333333333,0.5208333333333334
GD,0.5,0.5,,0.5,0.5384615384615384,0.5,0.4807692307692308,0.5,0.5,0.4423076923076923,0.5961538461538461
JM,0.4166666666666667,0.5833333333333334,0.5,,0.5,0.3333333333333333,0.4166666666666667,0.5,0.6666666666666666,0.4166666666666667,0.5833333333333334
JR,0.5,0.375,0.45,0.425,,0.425,0.5,0.375,0.425,0.475,0.425
JS,0.4166666666666667,0.4166666666666667,0.5,0.4166666666666667,0.5,,0.4166666666666667,0.4166666666666667,0.5,0.5,0.5
ML,0.55,0.475,0.475,0.45,0.525,0.55,,0.475,0.525,0.55,0.475
NL,0.4722222222222222,0.5,0.4444444444444444,0.5,0.4722222222222222,0.5,0.5277777777777778,,0.5277777777777778,0.4722222222222222,0.5
RK,0.4666666666666667,0.5166666666666667,0.48333333333333334,0.4666666666666667,0.55,0.5166666666666667,0.5833333333333334,0.5166666666666667,,0.5166666666666667,0.48333333333333334
SC,0.4791666666666667,0.4791666666666667,0.5,0.4375,0.4375,0.5,0.4791666666666667,0.5,0.5,,0.4583333333333333
YY,0.5416666666666666,0.3541666666666667,0.6458333333333334,0.4791666666666667,0.4791666666666667,0.5,0.5,0.3958333333333333,0.4791666666666667,0.4583333333333333,
