,AT,CC,GD,JM,JR,JS,ML,NL,RK,SC,YY
AT,,0.4166666666666667,0.4583333333333333,0.5833333333333334,0.5833333333333334,0.5416666666666666,0.4583333333333333,0.4166666666666667,0.5416666666666666,0.5416666666666666,0.5833333333333334
CC,0.4583333333333333,,0.5,0.5416666666666666,0.5,0.4791666666666667,0.4583333333333333,0.5416666666666666,0.5208333333333334,0.4375,0.4583333333333333
GD,0.4807692307692308,0.36538461538461536,,0.5192307692307693,0.5384615384615384,0.5192307692307693,0.46153846153846156,0.5,0.4807692307692308,0.5192307692307693,0.4807692307692308
JM,0.4166666666666667,0.5,0.3333333333333333,,0.5,0.5,0.5833333333333334,0.5833333333333334,0.5,0.5833333333333334,0.4166666666666667
JR,0.625,0.45,0.525,0.475,,0.7,0.7,0.4,0.475,0.325,0.625
JS,0.5833333333333334,0.6666666666666666,0.5,0.6666666666666666,0.8333333333333334,,0.5,0.5833333333333334,0.4166666666666667,0.6666666666666666,0.5833333333333334
ML,0.525,0.475,0.525,0.475,0.6,0.575,,0.5,0.475,0.45,0.475
NL,0.4722222222222222,0.5555555555555556,0.3611111111111111,0.4444444444444444,0.3611111111111111,0.4722222222222222,0.6111111111111112,,0.5277777777777778,0.5,0.4722222222222222
RK,0.48333333333333334,0.4666666666666667,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.48333333333333334,0.5833333333333334,0.4666666666666667,,0.5166666666666667,0.48333333333333334
SC,0.4375,0.5,0.4375,0.5,0.3541666666666667,0.375,0.4791666666666667,0.4791666666666667,0.4166666666666667,,0.3958333333333333
YY,0.5833333333333334,0.5625,0.6041666666666666,0.5,0.5416666666666666,0.6666666666666666,0.6666666666666666,0.4583333333333333,0.5833333333333334,0.5833333333333334,
