,AT,CC,GD,JM,JR,JS,ML,NL,RK,SC,YY
AT,,0.5416666666666666,0.625,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.5416666666666666,0.625,0.5833333333333334,0.4583333333333333
CC,0.5208333333333334,,0.5625,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.5416666666666666,0.5625,0.5,0.5
GD,0.4423076923076923,0.40384615384615385,,0.4807692307692308,0.5384615384615384,0.5769230769230769,0.5192307692307693,0.5192307692307693,0.46153846153846156,0.5576923076923077,0.5
JM,0.75,0.5833333333333334,0.5,,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5,0.6666666666666666,0.5,0.5
JR,0.4,0.45,0.375,0.4,,0.425,0.4,0.35,0.375,0.425,0.45
JS,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.5,0.5833333333333334,,0.5833333333333334,0.5,0.5833333333333334,0.4166666666666667,0.5833333333333334
ML,0.575,0.5,0.575,0.5,0.5,0.625,,0.425,0.5,0.5,0.5
NL,0.5,0.5277777777777778,0.4722222222222222,0.4444444444444444,0.6388888888888888,0.5833333333333334,0.5833333333333334,,0.5555555555555556,0.5277777777777778,0.3611111111111111
RK,0.55,0.4666666666666667,0.5166666666666667,0.55,0.5,0.48333333333333334,0.5,0.48333333333333334,,0.48333333333333334,0.6166666666666667
SC,0.5,0.5208333333333334,0.5208333333333334,0.5,0.5208333333333334,0.5208333333333334,0.4791666666666667,0.5416666666666666,0.4375,,0.5
YY,0.4375,0.3958333333333333,0.5416666666666666,0.5,0.4375,0.4583333333333333,0.4375,0.4166666666666667,0.5416666666666666,0.5,
