,AT,CC,GD,JR,ML,NL,RK,SC,YY
AT,,0.75,0.5,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.75,0.5833333333333334,0.5833333333333334
CC,0.5625,,0.625,0.4375,0.5,0.4375,0.5625,0.5,0.5625
GD,0.4,0.65,,0.5,0.4,0.5,0.5,0.55,0.55
JR,0.55,0.55,0.5,,0.65,0.5,0.65,0.55,0.55
ML,0.65,0.65,0.55,0.6,,0.6,0.7,0.6,0.7
NL,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.75,0.75,,0.5833333333333334,0.5833333333333334,0.5833333333333334
RK,0.5416666666666666,0.5833333333333334,0.625,0.5833333333333334,0.5416666666666666,0.5416666666666666,,0.5416666666666666,0.5416666666666666
SC,0.4375,0.5,0.5,0.5,0.5,0.5625,0.5,,0.5625
YY,0.5625,0.5,0.5625,0.625,0.5,0.5,0.625,0.75,
