,CC,GD,JM,JS,NL,RK,SC,YY
CC,,0.625,0.625,0.625,0.625,0.5625,0.625,0.5625
GD,0.5,,0.6666666666666666,0.5833333333333334,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666
JM,0.5,0.5833333333333334,,0.5,0.5,0.5,0.6666666666666666,0.5
JS,0.75,0.75,0.5833333333333334,,0.5833333333333334,0.75,0.5833333333333334,0.5833333333333334
NL,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.5,,0.5,0.5833333333333334,0.5
RK,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,,0.3333333333333333,0.5
SC,0.625,0.625,0.6875,0.5625,0.6875,0.5625,,0.5625
YY,0.6875,0.6875,0.6875,0.5625,0.6875,0.6875,0.625,
