,CC,GD,JM,JS,NL,RK,SC,YY
CC,,0.625,0.625,0.625,0.5625,0.5,0.625,0.5625
GD,0.6666666666666666,,0.4166666666666667,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.5
JM,0.5,0.5,,0.4166666666666667,0.5,0.5,0.4166666666666667,0.4166666666666667
JS,0.5,0.5,0.5833333333333334,,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.8333333333333334
NL,0.5,0.6666666666666666,0.5,0.4166666666666667,,0.75,0.8333333333333334,0.6666666666666666
RK,0.5,0.5833333333333334,0.5,0.5833333333333334,0.5833333333333334,,0.5833333333333334,0.5
SC,0.625,0.5,0.625,0.4375,0.625,0.4375,,0.4375
YY,0.5625,0.375,0.5,0.625,0.625,0.5625,0.5625,
