,AT,CC,GD,JR,ML,NL,RK,SC,YY
AT,,0.6927083333333334,0.6458333333333334,0.6833333333333332,0.6625000000000001,0.6805555555555557,0.6319444444444444,0.6666666666666666,0.6666666666666666
CC,0.6666666666666666,,0.6583333333333333,0.6833333333333335,0.6541666666666667,0.6527777777777778,0.625,0.6458333333333334,0.6875
GD,0.701388888888889,0.6927083333333334,,0.6666666666666666,0.6666666666666666,0.6597222222222222,0.625,0.6458333333333334,0.6875
JR,0.7013888888888888,0.671875,0.6333333333333334,,0.6583333333333335,0.6805555555555557,0.6388888888888888,0.6666666666666666,0.6822916666666666
ML,0.673611111111111,0.6979166666666666,0.6541666666666667,0.6916666666666665,,0.7083333333333334,0.6527777777777778,0.65625,0.6770833333333334
NL,0.6666666666666666,0.6822916666666666,0.65,0.6958333333333333,0.6625000000000001,,0.642361111111111,0.6510416666666666,0.6666666666666666
RK,0.6944444444444445,0.6875,0.6541666666666667,0.6875,0.6583333333333334,0.6666666666666666,,0.6458333333333334,0.6927083333333334
SC,0.6875,0.6875,0.6541666666666667,0.7083333333333334,0.6708333333333334,0.673611111111111,0.6423611111111112,,0.6770833333333334
YY,0.6944444444444443,0.6770833333333334,0.6458333333333333,0.6791666666666667,0.6708333333333334,0.6736111111111112,0.625,0.6614583333333334,
