,AT,CC,GD,JR,ML,NL,RK,SC,YY
AT,,0.75,0.7,0.7,0.65,0.6666666666666666,0.5833333333333334,0.5625,0.6875
CC,0.6666666666666666,,0.7,0.65,0.65,0.5833333333333334,0.5416666666666666,0.5625,0.6875
GD,0.6666666666666666,0.625,,0.7,0.65,0.6666666666666666,0.5833333333333334,0.5625,0.5625
JR,0.8333333333333334,0.6875,0.65,,0.65,0.6666666666666666,0.5833333333333334,0.6875,0.6875
ML,0.6666666666666666,0.6875,0.7,0.7,,0.6666666666666666,0.625,0.5625,0.6875
NL,0.6666666666666666,0.6875,0.65,0.6,0.65,,0.5833333333333334,0.5625,0.6875
RK,0.6666666666666666,0.625,0.7,0.65,0.65,0.6666666666666666,,0.5625,0.6875
SC,0.6666666666666666,0.6875,0.65,0.65,0.65,0.6666666666666666,0.625,,0.6875
YY,0.75,0.625,0.65,0.65,0.65,0.6666666666666666,0.5416666666666666,0.5625,
