,AT,CC,CG,GD,JM,JR,JS,ML,NL,RK,SC,TP,YY
AT,,0.625,0.5,0.6666666666666666,0.5,0.5,0.5,0.625,0.5416666666666666,0.5833333333333334,0.5,0.5,0.375
CC,0.5625,,0.4583333333333333,0.5,0.5416666666666666,0.5,0.5416666666666666,0.4583333333333333,0.4583333333333333,0.4791666666666667,0.5625,0.4791666666666667,0.4375
CG,,,,,,,,,,,,,
GD,0.6730769230769231,0.5384615384615384,0.5769230769230769,,0.36538461538461536,0.5192307692307693,0.5192307692307693,0.6153846153846154,0.4423076923076923,0.6730769230769231,0.5576923076923077,0.5192307692307693,0.5769230769230769
JM,0.5,0.4166666666666667,0.4166666666666667,0.4166666666666667,,0.16666666666666666,0.4166666666666667,0.25,0.4166666666666667,0.5,0.3333333333333333,0.5,0.25
JR,0.7,0.6,0.475,0.65,0.6,,0.55,0.5,0.625,0.525,0.625,0.625,0.575
JS,0.6666666666666666,0.5,0.4166666666666667,0.5833333333333334,0.5,0.3333333333333333,,0.5,0.5,0.5,0.5833333333333334,0.5,0.5
ML,0.525,0.55,0.65,0.55,0.5,0.5,0.525,,0.625,0.525,0.625,0.625,0.55
NL,0.5,0.5,0.4444444444444444,0.5555555555555556,0.6111111111111112,0.5,0.4722222222222222,0.3888888888888889,,0.4444444444444444,0.4722222222222222,0.5833333333333334,0.5
RK,0.5,0.5,0.5166666666666667,0.4666666666666667,0.45,0.48333333333333334,0.4666666666666667,0.45,0.4166666666666667,,0.4166666666666667,0.5,0.48333333333333334
SC,0.5,0.5208333333333334,0.5625,0.5,0.5208333333333334,0.5208333333333334,0.5,0.5416666666666666,0.5833333333333334,0.4791666666666667,,0.5,0.5208333333333334
TP,,,,,,,,,,,,,
YY,0.5416666666666666,0.5208333333333334,0.5,0.4583333333333333,0.4166666666666667,0.5416666666666666,0.5416666666666666,0.5,0.4375,0.4583333333333333,0.4375,0.5,
