,AT,CC,GD,JR,ML,NL,RK,SC,YY
AT,,0.5833333333333334,0.4166666666666667,0.25,0.3333333333333333,0.5833333333333334,0.4166666666666667,0.3333333333333333,0.4166666666666667
CC,0.5625,,0.5625,0.375,0.5,0.4375,0.5,0.4375,0.5625
GD,0.5,0.65,,0.5,0.55,0.4,0.35,0.5,0.8
JR,0.55,0.55,0.55,,0.45,0.6,0.5,0.55,0.5
ML,0.55,0.55,0.5,0.5,,0.45,0.5,0.5,0.5
NL,0.5833333333333334,0.5,0.3333333333333333,0.75,0.5833333333333334,,0.75,0.6666666666666666,0.5833333333333334
RK,0.4166666666666667,0.5416666666666666,0.375,0.4583333333333333,0.5416666666666666,0.5,,0.5416666666666666,0.5
SC,0.625,0.5625,0.5,0.625,0.5625,0.5625,0.5,,0.4375
YY,0.4375,0.5625,0.625,0.25,0.5,0.375,0.4375,0.4375,
