,AT,CC,GD,JR,ML,NL,RK,SC,YY
AT,,0.5902777777777778,0.5763888888888888,0.5972222222222222,0.5902777777777778,0.6180555555555556,0.5277777777777778,0.5625000000000001,0.6041666666666667
CC,0.5208333333333334,,0.59375,0.4895833333333333,0.4739583333333333,0.4947916666666667,0.5208333333333334,0.4895833333333333,0.4895833333333333
GD,0.5458333333333333,0.5791666666666666,,0.525,0.49583333333333335,0.5125000000000001,0.49583333333333335,0.5166666666666667,0.5125000000000001
JR,0.5833333333333334,0.5583333333333333,0.5666666666666667,,0.5666666666666667,0.5708333333333334,0.5666666666666668,0.5875,0.55
ML,0.5541666666666667,0.5208333333333334,0.5499999999999999,0.5666666666666667,,0.625,0.575,0.5541666666666668,0.5875
NL,0.6180555555555556,0.5625,0.5416666666666666,0.5833333333333334,0.6319444444444445,,0.5763888888888888,0.6041666666666669,0.625
RK,0.5104166666666666,0.4930555555555554,0.5069444444444444,0.5,0.5069444444444443,0.5069444444444444,,0.49999999999999994,0.49652777777777785
SC,0.46875,0.4947916666666667,0.5,0.4947916666666667,0.4791666666666667,0.5104166666666666,0.5052083333333334,,0.5
YY,0.53125,0.5260416666666666,0.5208333333333334,0.515625,0.4947916666666667,0.5260416666666666,0.5260416666666666,0.53125,
