,Subject,Block,Pre,Post
168,AC,24,0.4375,0.5416666666666666
169,CD,24,0.375,0.4375
170,CG,24,0.5625,0.3958333333333333
171,DA,24,0.75,0.3958333333333333
172,JN,24,0.5,0.5208333333333334
173,JS,24,0.625,0.3958333333333333
174,SK,24,0.5,0.5625
175,AC,25,0.4375,0.5416666666666666
176,CD,25,0.375,0.4583333333333333
177,CG,25,0.5,0.6041666666666666
178,DA,25,0.4375,0.5
179,JN,25,0.25,0.5625
180,JS,25,0.5625,0.5833333333333334
181,SK,25,0.4375,0.4791666666666667
182,AC,26,0.5625,0.4583333333333333
183,CD,26,0.5,0.5208333333333334
184,CG,26,0.4375,0.5208333333333334
185,DA,26,0.5625,0.4791666666666667
186,JN,26,0.4375,0.5625
187,JS,26,0.3125,0.4583333333333333
188,SK,26,0.5,0.4791666666666667
189,AC,27,0.5,0.5416666666666666
190,CD,27,0.5,0.4791666666666667
191,CG,27,0.4375,0.5
192,DA,27,0.3125,0.5625
193,JN,27,0.4375,0.5
194,JS,27,0.4375,0.5833333333333334
195,SK,27,0.5,0.4583333333333333
196,AC,28,0.375,0.6041666666666666
197,CD,28,0.5625,0.4375
198,CG,28,0.375,0.4583333333333333
199,DA,28,0.5,0.5
200,JN,28,0.5625,0.4791666666666667
201,JS,28,0.4375,0.4583333333333333
202,SK,28,0.5625,0.5625
203,AC,29,0.6875,0.4375
204,CD,29,0.4375,0.5208333333333334
205,CG,29,0.4375,0.5208333333333334
206,DA,29,0.5,0.4375
207,JN,29,0.625,0.4375
208,JS,29,0.25,0.4791666666666667
209,SK,29,0.8125,0.4375
210,AC,30,0.375,0.5416666666666666
211,CD,30,0.3125,0.4583333333333333
212,CG,30,0.625,0.5833333333333334
213,DA,30,0.5,0.4791666666666667
214,JN,30,0.5625,0.5208333333333334
215,JS,30,0.3125,0.5625
216,SK,30,0.6875,0.5
217,AC,31,0.5625,0.4583333333333333
218,CD,31,0.5,0.5208333333333334
219,CG,31,0.625,0.5208333333333334
220,DA,31,0.375,0.5208333333333334
221,JN,31,0.4375,0.4166666666666667
222,JS,31,0.375,0.3958333333333333
223,SK,31,0.3125,0.4166666666666667
224,AC,32,0.625,0.5416666666666666
225,CD,32,0.5,0.4791666666666667
226,CG,32,0.5,0.5208333333333334
227,DA,32,0.4375,0.5
228,JN,32,0.3125,0.5833333333333334
229,JS,32,0.25,0.4583333333333333
230,SK,32,0.5,0.4583333333333333
231,AC,33,0.5625,0.5625
232,CD,33,0.5,0.5
233,CG,33,0.4375,0.5
234,DA,33,0.5,0.5625
235,JN,33,0.5,0.625
236,JS,33,0.5,0.5
237,SK,33,0.4375,0.625
238,AC,34,0.5625,0.4583333333333333
239,CD,34,0.5,0.4375
240,CG,34,0.4375,0.4791666666666667
241,DA,34,0.5625,0.5625
242,JN,34,0.6875,0.5
243,JS,34,0.6875,0.4166666666666667
244,SK,34,0.375,0.4583333333333333
245,AC,35,0.5,0.5208333333333334
246,CD,35,0.5,0.3958333333333333
247,CG,35,0.4375,0.5
248,DA,35,0.5625,0.5625
