Subject,Pre,Post
AC,0.5185546875,0.5130208333333334
CD,0.4765625,0.4707031250000001
CG,0.5048828125,0.5016276041666669
DA,0.494140625,0.49967447916666674
JN,0.5009765625,0.5100911458333335
JS,0.478515625,0.4934895833333334
SK,0.501953125,0.5003255208333333
