Subject,Pre,Post
AC,0.5013020833333334,0.5302734374999999
CD,0.5843098958333334,0.5144856770833333
CG,0.50537109375,0.5136176215277776
DA,0.4930013020833333,0.5152452256944445
JN,0.6101888020833334,0.5747612847222227
JS,0.6097005208333334,0.5353190104166662
SK,0.53515625,0.4825303819444444
