,AT,CC,CG,GD,JM,JR,JS,ML,NL,RK,SC,TP,YY
AT,,0.59375,0.75,0.7,0.7916666666666666,0.8333333333333334,0.7916666666666666,0.75,0.6785714285714286,0.75,0.65625,0.8333333333333334,0.78125
CC,0.6666666666666666,,0.75,0.7,0.7083333333333334,0.75,0.75,0.75,0.7142857142857143,0.6666666666666666,0.65625,0.8333333333333334,0.78125
CG,0.6666666666666666,0.625,,0.7,0.75,0.75,0.75,0.75,0.6785714285714286,0.7083333333333334,0.6875,0.75,0.78125
GD,0.5833333333333334,0.6875,0.8333333333333334,,0.7916666666666666,0.75,0.75,0.8333333333333334,0.6785714285714286,0.7083333333333334,0.65625,0.8333333333333334,0.8125
JM,0.5833333333333334,0.625,0.9166666666666666,0.7,,0.75,0.75,0.75,0.7142857142857143,0.7083333333333334,0.65625,0.75,0.78125
JR,0.5833333333333334,0.625,0.75,0.7,0.75,,0.7916666666666666,0.75,0.7857142857142857,0.7083333333333334,0.65625,0.8333333333333334,0.78125
JS,0.6666666666666666,0.65625,0.8333333333333334,0.7,0.7916666666666666,0.6666666666666666,,0.75,0.6785714285714286,0.7083333333333334,0.625,0.8333333333333334,0.75
ML,0.5833333333333334,0.625,0.8333333333333334,0.7,0.7916666666666666,0.75,0.75,,0.6785714285714286,0.7083333333333334,0.71875,0.75,0.75
NL,0.6666666666666666,0.65625,0.75,0.7,0.7916666666666666,0.75,0.75,0.75,,0.7083333333333334,0.625,0.8333333333333334,0.78125
RK,0.5833333333333334,0.65625,0.75,0.7,0.7916666666666666,0.6666666666666666,0.7916666666666666,0.75,0.6785714285714286,,0.65625,0.75,0.78125
SC,0.6666666666666666,0.625,0.8333333333333334,0.7,0.7916666666666666,0.75,0.75,0.75,0.7142857142857143,0.7916666666666666,,0.8333333333333334,0.75
TP,0.5833333333333334,0.65625,0.75,0.7,0.75,0.8333333333333334,0.7916666666666666,0.75,0.6785714285714286,0.7916666666666666,0.6875,,0.8125
YY,0.6666666666666666,0.625,0.75,0.7,0.7083333333333334,0.75,0.75,0.75,0.75,0.75,0.59375,0.8333333333333334,
