,Subject,Block,Pre,Post
170,CG,24,0.5,0.5416666666666666
171,DA,24,0.5,0.5
172,JN,24,0.625,0.5416666666666666
173,JS,24,0.375,0.5208333333333334
174,SK,24,0.5625,0.5
175,AC,25,0.4375,0.5208333333333334
176,CD,25,0.625,0.4583333333333333
177,CG,25,0.5625,0.5
178,DA,25,0.5,0.4791666666666667
179,JN,25,0.625,0.6666666666666666
180,JS,25,0.6875,0.6041666666666666
181,SK,25,0.5,0.5208333333333334
182,AC,26,0.4375,0.5416666666666666
183,CD,26,0.5625,0.6458333333333334
184,CG,26,0.5625,0.5833333333333334
185,DA,26,0.5,0.5208333333333334
186,JN,26,0.4375,0.5208333333333334
187,JS,26,0.4375,0.5833333333333334
188,SK,26,0.5625,0.4583333333333333
189,AC,27,0.375,0.4791666666666667
190,CD,27,0.625,0.5208333333333334
191,CG,27,0.4375,0.4583333333333333
192,DA,27,0.5,0.5
193,JN,27,0.5,0.5
194,JS,27,0.625,0.4375
195,SK,27,0.5,0.4791666666666667
196,AC,28,0.5,0.4791666666666667
197,CD,28,0.625,0.5208333333333334
198,CG,28,0.4375,0.5416666666666666
199,DA,28,0.4375,0.6041666666666666
200,JN,28,0.4375,0.4583333333333333
201,JS,28,0.625,0.5833333333333334
202,SK,28,0.625,0.4791666666666667
203,AC,29,0.5,0.5625
204,CD,29,0.5,0.4375
205,CG,29,0.4375,0.5833333333333334
206,DA,29,0.4375,0.5416666666666666
207,JN,29,0.625,0.5416666666666666
208,JS,29,0.625,0.6458333333333334
209,SK,29,0.5625,0.5
210,AC,30,0.4375,0.5625
211,CD,30,0.625,0.4583333333333333
212,CG,30,0.4375,0.5
213,DA,30,0.5,0.5
214,JN,30,0.75,0.6666666666666666
215,JS,30,0.6875,0.6041666666666666
216,SK,30,0.625,0.4583333333333333
217,AC,31,0.5,0.5625
218,CD,31,0.625,0.5208333333333334
219,CG,31,0.5,0.4791666666666667
220,DA,31,0.5,0.4583333333333333
221,JN,31,0.75,0.6875
222,JS,31,0.625,0.5208333333333334
223,SK,31,0.6875,0.5208333333333334
224,AC,32,0.625,0.5416666666666666
225,CD,32,0.5625,0.5416666666666666
226,CG,32,0.5625,0.5416666666666666
227,DA,32,0.5625,0.5416666666666666
228,JN,32,0.8125,0.625
229,JS,32,0.5625,0.625
230,SK,32,0.625,0.4583333333333333
231,AC,33,0.5625,0.5625
232,CD,33,0.625,0.5
233,CG,33,0.5625,0.5833333333333334
234,DA,33,0.5,0.4583333333333333
235,JN,33,0.5,0.5208333333333334
236,JS,33,0.5,0.5416666666666666
237,SK,33,0.5625,0.5
238,AC,34,0.625,0.5625
239,CD,34,0.625,0.5625
240,CG,34,0.375,0.5833333333333334
241,DA,34,0.5,0.5208333333333334
242,JN,34,0.5,0.5
243,JS,34,0.6875,0.4583333333333333
244,SK,34,0.5625,0.5
245,AC,35,0.5,0.5208333333333334
246,CD,35,0.625,0.4375
247,CG,35,0.5625,0.3958333333333333
248,DA,35,0.5,0.5208333333333334
249,JN,35,0.6875,0.625
250,JS,35,0.75,0.5625
251,SK,35,0.5625,0.5416666666666666
252,AC,36,0.375,0.5416666666666666
253,CD,36,0.5,0.6041666666666666
254,CG,36,0.375,0.5
255,DA,36,0.5,0.4791666666666667
256,JN,36,0.75,0.6458333333333334
257,JS,36,0.6875,0.4791666666666667
258,SK,36,0.6875,0.4166666666666667
259,AC,37,0.5,0.5625
260,CD,37,0.6875,0.4791666666666667
261,CG,37,0.5,0.5833333333333334
262,DA,37,0.4375,0.6041666666666666
263,JN,37,0.6875,0.6666666666666666
264,JS,37,0.75,0.625
265,SK,37,0.5625,0.4791666666666667
266,AC,38,0.5625,0.5625
267,CD,38,0.5625,0.5625
268,CG,38,0.4375,0.5
269,DA,38,0.4375,0.5625
270,JN,38,0.625,0.6875
271,JS,38,0.6875,0.5
272,SK,38,0.375,0.375
273,AC,39,0.5625,0.5
274,CD,39,0.5625,0.4166666666666667
275,CG,39,0.4375,0.5416666666666666
276,DA,39,0.5625,0.5625
277,JN,39,0.625,0.6875
278,JS,39,0.625,0.5833333333333334
279,SK,39,0.5,0.4583333333333333
280,AC,40,0.5,0.5208333333333334
281,CD,40,0.875,0.4791666666666667
282,CG,40,0.5625,0.4791666666666667
283,DA,40,0.5,0.5208333333333334
284,JN,40,0.75,0.6458333333333334
285,JS,40,0.625,0.5208333333333334
286,SK,40,0.5625,0.4583333333333333
287,AC,41,0.4375,0.5833333333333334
288,CD,41,0.5,0.5416666666666666
289,CG,41,0.5,0.5625
290,DA,41,0.4375,0.5
291,JN,41,0.625,0.5625
292,JS,41,0.6875,0.6458333333333334
293,SK,41,0.625,0.5
294,AC,42,0.5,0.5208333333333334
295,CD,42,0.5,0.5833333333333334
296,CG,42,0.5625,0.4166666666666667
297,DA,42,0.375,0.5416666666666666
298,JN,42,0.5,0.3958333333333333
299,JS,42,0.5,0.5
300,SK,42,0.625,0.4166666666666667
301,AC,43,0.5,0.5208333333333334
302,CD,43,0.5,0.5208333333333334
303,CG,43,0.5,0.4791666666666667
304,DA,43,0.5,0.5
305,JN,43,0.625,0.6458333333333334
306,JS,43,0.75,0.5
307,SK,43,0.5625,0.4375
308,AC,44,0.4375,0.5416666666666666
309,CD,44,0.625,0.5208333333333334
310,CG,44,0.5625,0.5
311,DA,44,0.4375,0.4583333333333333
312,JN,44,0.75,0.6666666666666666
313,JS,44,0.5625,0.5208333333333334
314,SK,44,0.6875,0.5
315,AC,45,0.5,0.5416666666666666
316,CD,45,0.625,0.4166666666666667
317,CG,45,0.4375,0.5
318,DA,45,0.375,0.5208333333333334
319,JN,45,0.625,0.5833333333333334
320,JS,45,0.6875,0.6041666666666666
321,SK,45,0.5625,0.4166666666666667
322,AC,46,0.5,0.5208333333333334
323,CD,46,0.5625,0.5625
324,CG,46,0.4375,0.5
325,DA,46,0.5,0.5
326,JN,46,0.75,0.6458333333333334
327,JS,46,0.625,0.6041666666666666
328,SK,46,0.625,0.5208333333333334
329,AC,47,0.625,0.5
330,CD,47,0.5625,0.5208333333333334
331,CG,47,0.4375,0.5
332,DA,47,0.5,0.5208333333333334
333,JN,47,0.6875,0.625
334,JS,47,0.8125,0.6041666666666666
335,SK,47,0.5,0.4791666666666667
336,AC,48,0.4375,0.5208333333333334
337,CD,48,0.625,0.4583333333333333
338,CG,48,0.5,0.5208333333333334
339,DA,48,0.5,0.5208333333333334
340,JN,48,0.625,0.5625
341,JS,48,0.5625,0.5
342,SK,48,0.5625,0.5
343,AC,49,0.5625,0.5625
344,CD,49,0.6875,0.5625
345,CG,49,0.5625,0.5625
346,DA,49,0.5,0.5625
347,JN,49,0.6875,0.6458333333333334
348,JS,49,0.6875,0.5833333333333334
349,SK,49,0.4375,0.5208333333333334
350,AC,50,0.5,0.5416666666666666
351,CD,50,0.625,0.5208333333333334
352,CG,50,0.5625,0.5
353,DA,50,0.4375,0.4375
354,JN,50,0.75,0.5416666666666666
355,JS,50,0.75,0.5
356,SK,50,0.6875,0.4583333333333333
357,AC,51,0.5,0.5
358,CD,51,0.625,0.5625
359,CG,51,0.625,0.4791666666666667
360,DA,51,0.4375,0.5625
361,JN,51,0.75,0.6875
362,JS,51,0.75,0.6666666666666666
363,SK,51,0.5625,0.4791666666666667
364,AC,52,0.5625,0.4791666666666667
365,CD,52,0.6875,0.5208333333333334
366,CG,52,0.375,0.5625
367,DA,52,0.5625,0.5208333333333334
368,JN,52,0.6875,0.6458333333333334
369,JS,52,0.6875,0.5833333333333334
370,SK,52,0.375,0.5208333333333334
371,AC,53,0.5,0.5
372,CD,53,0.625,0.4791666666666667
373,CG,53,0.4375,0.5833333333333334
374,DA,53,0.5,0.5416666666666666
375,JN,53,0.5,0.5
376,JS,53,0.6875,0.625
377,SK,53,0.625,0.4791666666666667
378,AC,54,0.5,0.6041666666666666
379,CD,54,0.75,0.5
380,CG,54,0.5625,0.5208333333333334
381,DA,54,0.4375,0.5208333333333334
382,JN,54,0.75,0.7291666666666666
383,JS,54,0.75,0.5625
384,SK,54,0.625,0.5208333333333334
385,AC,55,0.5,0.5625
386,CD,55,0.625,0.4583333333333333
387,CG,55,0.625,0.5833333333333334
388,DA,55,0.5625,0.5416666666666666
389,JN,55,0.375,0.5416666666666666
390,JS,55,0.6875,0.5
391,SK,55,0.5625,0.4583333333333333
392,AC,56,0.5,0.4791666666666667
393,CD,56,0.5,0.5
394,CG,56,0.625,0.5416666666666666
395,DA,56,0.625,0.5416666666666666
396,JN,56,0.4375,0.4583333333333333
397,JS,56,0.625,0.5208333333333334
398,SK,56,0.5,0.4791666666666667
399,AC,57,0.5,0.5
400,CD,57,0.5625,0.4791666666666667
401,CG,57,0.4375,0.5208333333333334
402,DA,57,0.6875,0.4791666666666667
403,JN,57,0.625,0.5833333333333334
404,JS,57,0.5625,0.5
405,SK,57,0.625,0.4583333333333333
406,AC,58,0.5,0.5
407,CD,58,0.5625,0.4375
408,CG,58,0.625,0.5625
409,DA,58,0.4375,0.4583333333333333
410,JN,58,0.6875,0.6458333333333334
411,JS,58,0.625,0.5
412,SK,58,0.5625,0.4375
413,AC,59,0.4375,0.5625
414,CD,59,0.625,0.5625
415,CG,59,0.5625,0.5
416,DA,59,0.4375,0.4583333333333333
417,JN,59,0.5625,0.5416666666666666
418,JS,59,0.6875,0.5416666666666666
419,SK,59,0.5625,0.4791666666666667
420,AC,60,0.375,0.375
421,CD,60,0.625,0.4583333333333333
422,CG,60,0.75,0.4791666666666667
423,DA,60,0.5625,0.6041666666666666
424,JN,60,0.5625,0.5416666666666666
425,JS,60,0.375,0.5416666666666666
426,SK,60,0.5,0.5
427,AC,61,0.4375,0.5416666666666666
428,CD,61,0.625,0.5
429,CG,61,0.5625,0.5
430,DA,61,0.5,0.4791666666666667
431,JN,61,0.6875,0.6041666666666666
432,JS,61,0.75,0.5416666666666666
433,SK,61,0.625,0.4166666666666667
434,AC,62,0.6875,0.5208333333333334
435,CD,62,0.625,0.5416666666666666
